coin,target,toplam_veri,train_sayisi,test_sayisi,mae,mse,r2,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,r2_gap
BSV,close,2623,1836,787,1.7065195323188855,9.023563552816475,0.9822579847065546,5.050687577055941,137.23675936706962,0.974800706202685,1.7065195323188855,9.023563552816475,0.9822579847065546,-0.007457278503869569
ZEC,close,3375,2362,1013,8.543668692721955,275.5457236887497,0.9843402836775902,8.757193598188648,509.7868948373193,0.9743764234322172,8.543668692721955,275.5457236887497,0.9843402836775902,-0.00996386024537299
STX,close,3154,2207,947,0.04821500875391901,0.006775512368588365,0.9891262786371464,0.04165254343143299,0.010185155583597127,0.9742395980206272,0.04821500875391901,0.006775512368588365,0.9891262786371464,-0.01488668061651921
TRX,close,3028,2119,909,0.0038085477364116784,5.3360133133046116e-05,0.9930993442672419,0.0019999043164004955,2.771501862080844e-05,0.9698883566544035,0.0038085477364116784,5.3360133133046116e-05,0.9930993442672419,-0.023210987612838352
GT,close,1352,946,406,0.3749216468670719,0.30069597263016445,0.9884895787532105,0.13280394956043218,0.19525032663228842,0.9646732897994011,0.3749216468670719,0.30069597263016445,0.9884895787532105,-0.023816288953809384
RSR,close,1341,938,403,0.0002831841580460273,1.6270465407392778e-07,0.97499997456278,0.00025924094087030836,3.4414244334474016e-07,0.9486165601333834,0.0002831841580460273,1.6270465407392778e-07,0.97499997456278,-0.026383414429396623
TUSD,close,2606,1824,782,0.0012578213218357305,8.049233465543185e-06,0.6663685269921034,0.0011511342373053527,6.4118977970358455e-06,0.5331764553630911,0.0012578213218357305,8.049233465543185e-06,0.6663685269921034,-0.13319207162901225
WEMIX,high,1351,945,406,2389.436563715415,6314752.99842791,-163717666.04310402,3345.2770539740427,583697099.0482794,0.025917903573798085,2389.436563715415,6314752.99842791,-163717666.04310402,163717666.06902194
USDT,high,3247,2272,975,0.0017130814254445626,3.6021313767138765e-06,-2.262096977669346,0.004582299140435704,9.959036138256278e-05,0.6194719259742003,0.0017130814254445626,3.6021313767138765e-06,-2.262096977669346,2.8815689036435463
USDC,high,2598,1818,780,0.0009806621445657537,1.983561383287483e-06,-0.7815367940516684,0.0023118605610968415,4.387427645076279e-05,0.5904440067919854,0.0009806621445657537,1.983561383287483e-06,-0.7815367940516684,1.3719808008436538
AMP,high,1922,1345,577,0.00801799149538436,0.007715644049435774,-0.011750964774347006,0.0009166825882293182,4.6564973478709074e-06,0.9904113032664027,0.00801799149538436,0.007715644049435774,-0.011750964774347006,1.0021622680407498
